City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,prince george,53.9166,-122.753,292.84,72,75,4.12,CA,1727218002
145,ostersund,63.1792,14.6357,280.4,100,100,2.68,SE,1727218005
146,beaufort west,-32.3567,22.583,289.48,56,100,2.38,ZA,1727217906
147,tura,25.5198,90.2201,296.78,99,100,1.31,IN,1727218007
148,poronaysk,49.2167,143.1167,286.56,82,76,2.2,RU,1727217941
149,georgetown,5.4112,100.3354,299.79,87,20,1.03,MY,1727217938
150,general conesa,-40.1,-64.4333,289.52,17,4,7.5,AR,1727218011
151,san patricio,28.017,-97.5169,299.12,57,61,5.94,US,1727218012
152,atafu village,-8.5421,-172.5159,301.28,79,85,5.4,TK,1727218013
153,mossel bay,-34.1831,22.146,288.11,90,100,0.94,ZA,1727218014
154,revda,56.801,59.9303,273.93,78,59,2.77,RU,1727218017
155,cam ranh,11.9214,109.1591,299.13,89,20,1.03,VN,1727218018
156,vadso,70.0744,29.7487,283.24,87,20,8.75,NO,1727218019
157,samana,19.2056,-69.3369,298.78,87,0,2.59,DO,1727218020
158,el granada,37.5027,-122.4694,300.29,60,20,7.2,US,1727218021
159,pisco,-13.7,-76.2167,291.18,77,0,8.23,PE,1727218024
160,sokoni,-6.4333,39.55,298.23,76,21,6.35,TZ,1727218025
161,barro alto,-11.7608,-41.9117,298.89,40,85,5.61,BR,1727218026
162,bathsheba,13.2167,-59.5167,301.49,83,40,4.63,BB,1727218027
163,klaksvik,62.2266,-6.589,278.58,70,100,5.25,FO,1727218029
164,anadyr,64.75,177.4833,282.43,66,0,4.0,RU,1727218030
165,jinxiang,27.4327,120.6062,296.59,90,100,2.46,CN,1727218031
166,seosan,36.7817,126.4522,293.98,75,73,1.37,KR,1727218032
167,shalqar,47.8333,59.6,286.27,31,100,7.02,KZ,1727218033
168,saint joseph,39.7686,-94.8466,294.93,60,100,10.8,US,1727218035
169,taro,-8.3862,115.28,293.61,96,46,0.42,ID,1727218036
170,bodo,67.28,14.405,281.17,75,40,3.09,NO,1727218037
171,isafjordur,66.0755,-23.124,273.36,84,96,7.35,IS,1727218038
172,pointe-noire,-4.7761,11.8635,297.16,88,35,3.01,CG,1727218040
173,geraldton,-28.7667,114.6,285.38,82,0,4.63,AU,1727218041
174,udachny,66.4167,112.4,276.56,84,64,4.04,RU,1727218042
175,oyem,1.5995,11.5793,292.44,99,96,1.16,GA,1727218043
176,tulun,54.5611,100.5792,277.15,87,99,4.4,RU,1727218046
177,tolbazy,54.0241,55.8825,276.85,59,7,0.62,RU,1727218047
178,khandyga,62.6667,135.6,275.54,75,100,1.34,RU,1727218048
179,kattivakkam,13.2167,80.3167,301.2,94,100,5.22,IN,1727218049
180,nemuro,43.3236,145.575,287.45,70,36,5.54,JP,1727218050
181,basco,20.4487,121.9702,301.79,77,100,1.48,PH,1727218051
182,enewetak,11.3474,162.3373,302.09,75,92,5.15,MH,1727218053
183,bubaque,11.2833,-15.8333,300.28,82,100,4.4,GW,1727218054
184,suva,-18.1416,178.4415,296.77,74,100,6.29,FJ,1727217726
185,nikolayevsk-on-amure,53.1406,140.73,287.16,64,62,0.08,RU,1727218056
186,st. john's,47.5649,-52.7093,284.25,94,100,6.26,CA,1727218056
187,vikulovo,56.8167,70.6107,275.67,89,50,4.92,RU,1727218058
188,kabompo,-13.5927,24.2008,293.47,30,10,4.29,ZM,1727218060
189,fortuna,40.5982,-124.1573,293.66,73,20,4.12,US,1727218061
190,carauari,-4.8828,-66.8958,307.16,30,92,0.66,BR,1727218033
191,espanola,35.9911,-106.0806,302.37,16,5,1.9,US,1727218063
192,ataq,14.5377,46.8319,300.47,47,97,2.73,YE,1727218064
193,altai,46.3722,96.2583,278.8,44,44,2.48,MN,1727218066
194,egilsstadir,65.2653,-14.3948,275.1,93,100,5.14,IS,1727218067
195,balykshi,47.0667,51.8667,288.15,67,40,3.0,KZ,1727218068
196,katsuura,35.1333,140.3,295.15,75,100,10.07,JP,1727218069
197,la ronge,55.1001,-105.2842,295.27,49,40,4.12,CA,1727218070
198,remire-montjoly,4.9167,-52.2667,301.17,83,0,2.57,GF,1727218071
199,'alaqahdari dishu,30.4374,63.313,300.62,15,37,3.04,AF,1727218073
200,demmin,53.9076,13.0314,285.52,93,49,5.95,DE,1727218074
201,concepcion,-36.827,-73.0498,285.04,71,40,5.14,CL,1727217979
202,benjamin hill,30.1667,-111.1,309.25,11,0,3.14,MX,1727217974
203,whitehorse,60.7161,-135.0538,284.58,55,75,7.2,CA,1727218077
204,santa rosa de lima,13.6247,-87.8936,299.65,94,97,0.66,SV,1727217901
205,tsiroanomandidy,-18.7667,46.0333,294.59,62,63,2.79,MG,1727218080
206,tyup,42.7276,78.3648,285.36,68,65,1.34,KG,1727218081
207,murghob,38.1702,73.9667,280.17,24,0,1.83,TJ,1727218082
208,happy valley-goose bay,53.3168,-60.3315,285.32,66,40,0.0,CA,1727217967
209,fale old settlement,-9.3852,-171.2468,301.61,77,25,5.2,TK,1727218084
210,badger,64.8,-147.5333,282.08,65,100,0.0,US,1727218086
211,tofol,5.3248,163.0078,304.03,70,75,1.54,FM,1727218087
